"name","ring","quadrant","isNew","status","description"
"IBM Infosphere","Adopt","Tools","FALSE","no change","IBM Infosphere ist ein umfassendes Datenmanagement-Tool, das Datenintegration, -qualität und -verwaltung unterstützt. Es hilft Unternehmen, Daten effizient zu speichern, zu organisieren und zu analysieren. Weitere Informationen finden Sie <a href=""https://www.carmatec.com/de/blog/die-15-besten-datenmanagement-tools-und-software/"">hier</a>."
"SAP Bodi","Trial","Tools","TRUE","new","SAP Bodi ist ein Datenmanagement-Tool, das speziell für die Integration und Verwaltung großer Datenmengen entwickelt wurde. Es bietet robuste Funktionen zur Datenqualitätssicherung und -analyse. Weitere Informationen finden Sie <a href=""https://www.carmatec.com/de/blog/die-15-besten-datenmanagement-tools-und-software/"">hier</a>."
"DQuantum","Assess","Tools","TRUE","new","DQuantum ist ein modernes Datenmanagement-Tool, das auf die Verwaltung und Analyse von Daten in Echtzeit spezialisiert ist. Es unterstützt Unternehmen bei der Optimierung ihrer Datenprozesse. Weitere Informationen finden Sie <a href=""https://www.carmatec.com/de/blog/die-15-besten-datenmanagement-tools-und-software/"">hier</a>."
"Power BI","Adopt","Tools","FALSE","no change","Power BI ist ein Business-Analytics-Tool von Microsoft, das interaktive Visualisierungen und Business-Intelligence-Funktionen bietet. Es ermöglicht die einfache Erstellung von Berichten und Dashboards. Weitere Informationen finden Sie <a href=""https://www.carmatec.com/de/blog/die-15-besten-datenmanagement-tools-und-software/"">hier</a>."
"SAP Hana","Hold","Tools","FALSE","no change","SAP Hana ist eine In-Memory-Datenbank, die Echtzeit-Datenverarbeitung und -analyse ermöglicht. Sie unterstützt Unternehmen bei der schnellen Verarbeitung großer Datenmengen. Weitere Informationen finden Sie <a href=""https://www.carmatec.com/de/blog/die-15-besten-datenmanagement-tools-und-software/"">hier</a>."
"BCBS 239 Compliance","Adopt","Techniques","FALSE","no change","BCBS 239 Compliance umfasst Richtlinien und Standards zur Verbesserung der Datenqualität und -verwaltung in Finanzinstituten. Es stellt sicher, dass Daten korrekt und zuverlässig sind. Weitere Informationen finden Sie <a href=""https://www.pwc.de/de/im-fokus/abschlusspruefung/digitalisierung-im-finanz-und-rechnungswesen.html"">hier</a>."
"Data Governance","Trial","Techniques","TRUE","new","Data Governance umfasst die Prozesse und Richtlinien zur Verwaltung und Kontrolle von Daten innerhalb eines Unternehmens. Es stellt sicher, dass Daten konsistent und vertrauenswürdig sind. Weitere Informationen finden Sie <a href=""https://www.pwc.de/de/im-fokus/abschlusspruefung/digitalisierung-im-finanz-und-rechnungswesen.html"">hier</a>."
"Data Quality Management","Assess","Techniques","TRUE","new","Data Quality Management bezieht sich auf die Maßnahmen und Prozesse zur Sicherstellung der Datenqualität. Es umfasst die Überwachung, Bewertung und Verbesserung der Datenqualität. Weitere Informationen finden Sie <a href=""https://www.pwc.de/de/im-fokus/abschlusspruefung/digitalisierung-im-finanz-und-rechnungswesen.html"">hier</a>."
"Data Lineage","Adopt","Techniques","FALSE","no change","Data Lineage verfolgt den Ursprung und die Bewegung von Daten durch verschiedene Systeme und Prozesse. Es hilft bei der Nachverfolgung und Überprüfung von Datenänderungen. Weitere Informationen finden Sie <a href=""https://www.pwc.de/de/im-fokus/abschlusspruefung/digitalisierung-im-finanz-und-rechnungswesen.html"">hier</a>."
"Data Integration","Hold","Techniques","FALSE","no change","Data Integration umfasst die Kombination von Daten aus verschiedenen Quellen zu einer einheitlichen Ansicht. Es erleichtert die Datenanalyse und Entscheidungsfindung. Weitere Informationen finden Sie <a href=""https://www.pwc.de/de/im-fokus/abschlusspruefung/digitalisierung-im-finanz-und-rechnungswesen.html"">hier</a>."
