name,ring,quadrant,isNew,status,description
Apache Kafka,Adopt,Tools,TRUE,new,"Apache Kafka ist eine verteilte Streaming-Plattform, die zur Echtzeit-Datenverarbeitung und -Integration verwendet wird. Es ermöglicht die Verarbeitung großer Datenmengen und ist besonders nützlich für Finanzmärkte und Datenmanagement. <a href=""https://kafka.apache.org/"">Mehr erfahren</a>"
Snowflake,Trial,Tools,TRUE,new,"Snowflake ist eine Cloud-basierte Datenplattform, die Datenlagerung, -analyse und -integration ermöglicht. Es bietet eine skalierbare Lösung für Datenmanagement und ist besonders relevant für Finanzmärkte. <a href=""https://www.snowflake.com/"">Mehr erfahren</a>"
DataOps,Assess,Techniques,TRUE,new,"DataOps ist eine Methodik zur Verbesserung der Datenqualität und -verfügbarkeit durch Automatisierung und Zusammenarbeit. Es ist besonders nützlich für die Optimierung datengetriebener Prozesse. <a href=""https://www.dataops.org/"">Mehr erfahren</a>"
CDAO Germany,Adopt,Platforms,TRUE,new,"Die CDAO Germany Konferenz konzentriert sich auf Datenstrategie und -management für Führungskräfte in Deutschland. Sie bietet maßgeschneiderte Inhalte und Networking-Möglichkeiten. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
INFOMOTION GmbH,Assess,languages-and-frameworks,TRUE,new,"INFOMOTION GmbH ist ein führendes Unternehmen im Bereich Datenmanagement und -analyse in Deutschland. Sie bieten Lösungen zur Optimierung datengetriebener Prozesse. <a href=""https://www.inven.ai/company-lists/top-24-data-analytics-companies-in-germany"">Mehr erfahren</a>"
PyCon DE & PyData,Trial,Platforms,TRUE,new,"PyCon DE & PyData ist Europas größte Python-Community-Veranstaltung, die sich auf Datenwissenschaft und -analyse konzentriert. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
Microsoft Azure,Adopt,Tools,TRUE,new,"Microsoft Azure bietet eine umfassende Cloud-Plattform für Datenmanagement, Analyse und KI. Es ist besonders nützlich für die Digitalisierung und Finanzmärkte. <a href=""https://azure.microsoft.com/"">Mehr erfahren</a>"
TDWI München,Assess,Platforms,TRUE,new,"TDWI München ist eine Konferenz, die sich auf Datenanalyse und -management konzentriert. Sie bietet Einblicke in neue Trends und Technologien. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
Data Governance,Adopt,Techniques,TRUE,new,"Data Governance umfasst die Verwaltung und Kontrolle von Daten, um deren Qualität und Sicherheit zu gewährleisten. Es ist entscheidend für langfristiges Datenmanagement. <a href=""https://www.dataversity.net/category/data-topics/data-governance/"">Mehr erfahren</a>"
Rise of AI Conference,Trial,Platforms,TRUE,new,"Die Rise of AI Conference in Berlin konzentriert sich auf Künstliche Intelligenz und deren Anwendung in verschiedenen Branchen, einschließlich Finanzmärkte. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
Data Lineage,Assess,Techniques,TRUE,new,"Data Lineage verfolgt den Lebenszyklus von Daten von der Quelle bis zur Nutzung. Es ist wichtig für die Nachvollziehbarkeit und Qualitätssicherung im Datenmanagement. <a href=""https://www.dataversity.net/what-is-data-lineage/"">Mehr erfahren</a>"
Berlin Buzzwords,Trial,Platforms,TRUE,new,"Berlin Buzzwords ist eine führende Konferenz für moderne Dateninfrastruktur, Suche und maschinelles Lernen. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
Dataiku,Assess,Tools,TRUE,new,"Dataiku ist eine Plattform für Datenwissenschaft und maschinelles Lernen, die die Zusammenarbeit und Automatisierung von Datenprojekten erleichtert. <a href=""https://www.dataiku.com/"">Mehr erfahren</a>"
DataOps Summit,Trial,Platforms,TRUE,new,"Die DataOps Summit konzentriert sich auf die Implementierung und Optimierung von DataOps-Methoden zur Verbesserung der Datenqualität und -verfügbarkeit. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
Informatica,Adopt,Tools,TRUE,new,"Informatica bietet Lösungen für Datenintegration, -qualität und -management, die besonders für Finanzmärkte und Datenmanagement relevant sind. <a href=""https://www.informatica.com/"">Mehr erfahren</a>"
Data Science,Assess,Techniques,TRUE,new,"Data Science umfasst die Analyse und Interpretation großer Datenmengen zur Gewinnung wertvoller Erkenntnisse. Es ist entscheidend für datengetriebene Entscheidungen. <a href=""https://www.dataversity.net/category/data-topics/data-science/"">Mehr erfahren</a>"
European AI and Cloud Summit,Trial,Platforms,TRUE,new,"Der European AI and Cloud Summit in Düsseldorf ist die größte Konferenz in Europa, die sich auf Künstliche Intelligenz und Cloud Computing konzentriert. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
Talend,Assess,Tools,TRUE,new,"Talend bietet Lösungen für Datenintegration und -management, die die Qualität und Verfügbarkeit von Daten verbessern. <a href=""https://www.talend.com/"">Mehr erfahren</a>"
Data Governance Conference Europe,Trial,Platforms,TRUE,new,"Die Data Governance Conference Europe konzentriert sich auf Best Practices und Strategien zur effektiven Verwaltung und Kontrolle von Daten. <a href=""https://dataevents.co/all/europe/germany"">Mehr erfahren</a>"
Cloudera,Assess,Tools,TRUE,new,"Cloudera bietet eine Plattform für Datenmanagement und -analyse, die besonders für große Datenmengen und komplexe Datenlandschaften geeignet ist. <a href=""https://www.cloudera.com/"">Mehr erfahren</a>"
